user_id,item_id
U12742,P00629
U13973,P00224
U20949,P01073
U01832,P00595
U23745,P01188
U06652,P00496
U11126,P01684
U26183,P00008
U22073,P00543
U12820,P00467
U07916,P00304
U25274,P00078
U17961,P02751
U20083,P02701
U05149,P00464
U20605,P01972
U04813,P02456
U08934,P01812
U24774,P01802
U00092,P01796
U19965,P01049
U14974,P00133
U29598,P02962
U26058,P00200
U10406,P01103
U08715,P02159
U21362,P00508
U22504,P00156
U09175,P01410
U21891,P00651
U27735,P00114
U09936,P00414
U00530,P02878
U24637,P00457
U21991,P01371
U12817,P00467
U03054,P00405
U10416,P01098
U10502,P01577
U13293,P00196
U02987,P00965
U04023,P03158
U02911,P02357
U01070,P02950
U17965,P02463
U17904,P01972
U13216,P00001
U04226,P00135
U17975,P01972
U27097,P01755
U00092,P00004
U02856,P03174
U22918,P01926
U25318,P02586
U23772,P01087
U16177,P00020
U02950,P00125
U08207,P00204
U15149,P03158
U11291,P02805
U06397,P01788
U21743,P00001
U00742,P00397
U19001,P00657
U05773,P01138
U22191,P00006
U29807,P02203
U08108,P01275
U17668,P01895
U10376,P01965
U21448,P02654
U21034,P00006
U28436,P00657
U16951,P00299
U18925,P01577
U02393,P00713
U27014,P01961
U01854,P01993
U19786,P02646
U23582,P01469
U03012,P03227
U12457,P00020
U02611,P01371
U03134,P01836
U18869,P00039
U17894,P00304
U14878,P02595
U11197,P00907
U01561,P00003
U12185,P02161
U12022,P02716
U00970,P00133
U18090,P00006
U13780,P00002
U03717,P00149
U17302,P02858
U23547,P00711
U23824,P01958
U27187,P02567
U09420,P00710
U22444,P01318
U23177,P01412
U02737,P01800
U20871,P03129
U05254,P00325
U16317,P00196
U27834,P01778
U01121,P01758
U01998,P01932
U21291,P00405
U24445,P02448
U01348,P01746
U22601,P00956
U10796,P00020
U13321,P02392
U24953,P02734
U12630,P02011
U26133,P00047
U29910,P00139
U13503,P00595
U13083,P02891
U09375,P02639
U26191,P01536
U22466,P00134
U13129,P00614
U18090,P00002
U17397,P03186
U13330,P03084
U03490,P00006
U27226,P01832
U23737,P00467
U20402,P02995
U03960,P02401
U01431,P00954
U16830,P01961
U10308,P00224
U13879,P00219
U25011,P01972
U06512,P00224
U22777,P02737
U14954,P00312
U11807,P00356
U01688,P02493
U16687,P01315
U04079,P00223
U03858,P00235
U09366,P01923
U10700,P01778
U03912,P01316
U20690,P02219
U06900,P03041
U07056,P02645
U14729,P02345
U19786,P01972
U18973,P02579
U25403,P01772
U17721,P00826
U12998,P00153
U24357,P01225
U14803,P00020
U00402,P01977
U11360,P00944
U11440,P00020
U26436,P00343
U24447,P01697
U23737,P00174
U27364,P01513
U09715,P02537
U00873,P02020
U18957,P01155
U01511,P00672
U12436,P01524
U06149,P01325
U08506,P02278
U00398,P02543
U06559,P00715
U24774,P00008
U06003,P00562
U29700,P01829
U02102,P00219
U00515,P00020
U28809,P01972
U07463,P01809
U23370,P02168
U27610,P01300
U01674,P03041
U08290,P00029
U26385,P02118
U05423,P03158
U04543,P02995
U10315,P00044
U19213,P01533
U29014,P01309
U16978,P00114
U01749,P01446
U28493,P01899
U17419,P00073
U04665,P01976
U10080,P00196
U10735,P00050
U01468,P00133
U28198,P01863
U25824,P03027
U11787,P02139
U11184,P02956
U26577,P00928
U10126,P01210
U15307,P01966
U19631,P02808
U24199,P00185
U23319,P01977
U28324,P01049
U10068,P01787
U21545,P00359
U05149,P01812
U05626,P00469
U26567,P00714
U28447,P00275
U18520,P02540
U04071,P02193
U06666,P00001
U29883,P00899
U05821,P01972
U22729,P00223
U12384,P01305
U08907,P00467
U22260,P00946
U26889,P00001
U09656,P00334
U23617,P01036
U16457,P00020
U04422,P00209
U22506,P00133
U27172,P02463
U06958,P01431
U10030,P01833
U20638,P00020
U14004,P02598
U13190,P02229
U00085,P02307
U15570,P00464
U26294,P02281
U29590,P00338
U16793,P02874
U10134,P02456
U14980,P03243
U27812,P01835
U09950,P01166
U07115,P00539
U19597,P02683
U24764,P00180
U17912,P00448
U16822,P00801
U26762,P01742
U09082,P00386
U28404,P00291
U04727,P01295
U06552,P00475
U03265,P00039
U01540,P00956
U12592,P00020
U21183,P01449
U25137,P00045
U23177,P00310
U23655,P02081
U27876,P02782
U18777,P00562
U09701,P00957
U12532,P00962
U28524,P02245
U26546,P00723
U18694,P01178
U01364,P00020
U04332,P02134
U00739,P01763
U15107,P02800
U20072,P02018
U27413,P02490
U21863,P00003
U04003,P00946
U25873,P02394
U01847,P01809
U08005,P02522
U05683,P00196
U00967,P00784
U10663,P00149
U20699,P03209
U13047,P01958
U07350,P01373
U25914,P02734
U11477,P01589
U20404,P00002
U07501,P00006
U10859,P00954
U19362,P00415
U26522,P03045
U17626,P02307
U24293,P03112
U21478,P02229
U05283,P02638
U02377,P01096
U03193,P00152
U21190,P01066
U07623,P01905
U20871,P00501
U06702,P00831
U29619,P02374
U20512,P00049
U03006,P01218
U10170,P00593
U11567,P03159
U29986,P01278
U03174,P00188
U14044,P02091
U23074,P01664
U16164,P01965
U03523,P00608
U07408,P01961
U12999,P01825
U20417,P00756
U01102,P02746
U06383,P02033
U18975,P00029
U05345,P01326
U13714,P02230
U29200,P01361
U28344,P01905
U06582,P00638
U20960,P00066
U02952,P01278
U05191,P00869
U14277,P00004
U06323,P02701
U16880,P00001
U29194,P00772
U00726,P01697
U07930,P02469
U07532,P03011
U18158,P02250
U00483,P01690
U15682,P00902
U29079,P00532
U28253,P00133
U01716,P02237
U05600,P00806
U29446,P01278
U05219,P01049
U24109,P00553
U15014,P00001
U14838,P00001
U25244,P01544
U28899,P01684
U07842,P00946
U18687,P00420
U24720,P00628
U15722,P00006
U19258,P00006
U07210,P00222
U07076,P01169
U09375,P02384
U14551,P03041
U15517,P00020
U03897,P00005
U23978,P00801
U29965,P01510
U09288,P01023
U18853,P00133
U22230,P00196
U05395,P00577
U15860,P02213
U26420,P01184
U20398,P01281
U13219,P01623
U18559,P01454
U18933,P03129
U12168,P01650
U14048,P00946
U06921,P01117
U18128,P02557
U29193,P01836
U15307,P02165
U05051,P01380
U21922,P01312
U06770,P00267
U29067,P01849
U21033,P01809
U01854,P00219
U16589,P00025
U10141,P01972
U02912,P00081
U08318,P00751
U28495,P03216
U14158,P01490
U00865,P00457
U21245,P00279
U18973,P03156
U16530,P00811
U07983,P03026
U14658,P01786
U24776,P00562
U26539,P01380
U25364,P01267
U04319,P02119
U16643,P01873
U24236,P02668
U12333,P02251
U27468,P01972
U15836,P02887
U14811,P00467
U29336,P00014
U16949,P00225
U09134,P02615
U09035,P01701
U17274,P00020
U23096,P00595
U19388,P01380
U08245,P01045
U03417,P01977
U15378,P02598
U07634,P02215
U01692,P01307
U04859,P01907
U01968,P01913
U27855,P00638
U00236,P02370
U12384,P03145
U19285,P00008
U17739,P02518
U02141,P00467
U18920,P01358
U23874,P00220
U11855,P02628
U03399,P02638
U01854,P01749
U12410,P00704
U18996,P01049
U13802,P00721
U06926,P00487
U03077,P00541
U02013,P01849
U06771,P00279
U18925,P01972
U26904,P03026
U16486,P02077
U20941,P00754
U03228,P00343
U27419,P02240
U13056,P03218
U23973,P00153
U26795,P01705
U25224,P00142
U14730,P01551
U10330,P01563
U26592,P01802
U01057,P00402
U13243,P00073
U02931,P01444
U00628,P00467
U04422,P01096
U00137,P02156
U16701,P01972
U29176,P00185
U28855,P01974
U08867,P00038
U14415,P02711
U15670,P00467
U14094,P00954
U23427,P01832
U21601,P01396
U11187,P01659
U04680,P02456
U10285,P00468
U13059,P01812
U24715,P00967
U28863,P00467
U28178,P00612
U11282,P01849
U03969,P01162
U18494,P01972
U20791,P01904
U01735,P01660
U24446,P00020
U04153,P02233
U17800,P00275
U24147,P02431
U28078,P00222
U26566,P00595
U10238,P00020
U11772,P00196
U15045,P02320
U13190,P00219
U12134,P03003
U00267,P00219
U06006,P02122
U07105,P01144
U07388,P02274
U19753,P02223
U22712,P00084
U19048,P00418
U21666,P00196
U12875,P02431
U13638,P03158
U03468,P03125
U18644,P01789
U25614,P02094
U10502,P01667
U24388,P00196
U26849,P00039
U25765,P00279
U16805,P01854
U01663,P01606
U27172,P02411
U11637,P02332
U16830,P01334
U04171,P01049
U03318,P02670
U19770,P03226
U10211,P00139
U18165,P02731
U08653,P02227
U19556,P00196
U18978,P02219
U04929,P00277
U25921,P00006
U12397,P00137
U27333,P02574
U09677,P01778
U26235,P00005
U15809,P02859
U18196,P01602
U15928,P00454
U00831,P01905
U25989,P00514
U19064,P02841
U24609,P00386
U20186,P01680
U26795,P01303
U07709,P00503
U04049,P00412
U20640,P01300
U28600,P00001
U26197,P00016
U03713,P02967
U01989,P00965
U12181,P01079
U25900,P01684
U11439,P02574
U02363,P00915
U12256,P01722
U04793,P01448
U24593,P02139
U27530,P01937
U25824,P01278
U27622,P00233
U13334,P01841
U24887,P01593
U13869,P00015
U07954,P00044
U10126,P00763
U17909,P01329
U07692,P00220
U24931,P02040
U28364,P00954
U24815,P01314
U28277,P01842
U07630,P00006
U04611,P01866
U17094,P02454
U12603,P01763
U18300,P01961
U24444,P02037
U24109,P01443
U23660,P00947
U25516,P00003
U00151,P00710
U19353,P03156
U00581,P02353
U20420,P02215
U06442,P00565
U06770,P01383
U14683,P02229
U19830,P00220
U06331,P00386
U06526,P00151
U01045,P02264
U03816,P01971
U09677,P00390
U09828,P01587
U17335,P00212
U18403,P02063
U26770,P02193
U20163,P01242
U06122,P00443
U06582,P00704
U13787,P00020
U10777,P01423
U21772,P03212
U11902,P00933
U16816,P00457
U14891,P00289
U22630,P01684
U08830,P02075
U23764,P00279
U04432,P00133
U16636,P00855
U20642,P00090
U20016,P02223
U29005,P02122
U01727,P01371
U19351,P00774
U03055,P02691
U21891,P01800
U28710,P01096
U09388,P01602
U01166,P00196
U27987,P02176
U17948,P00029
U26421,P02241
U13706,P02985
U12152,P00079
U01405,P00020
U20564,P02829
U29014,P02867
U25532,P01972
U07752,P01771
U26463,P00119
U02701,P00343
U07244,P01250
U06082,P00467
U17494,P01049
U20156,P02398
U21021,P01642
U02716,P00020
U29822,P02489
U18352,P00512
U02168,P00133
U03912,P01512
U18999,P01830
U02173,P02573
U12999,P00216
U00278,P01622
U09935,P02051
U22239,P01788
U02319,P03203
U17889,P01100
U29962,P00075
U04335,P02662
U14743,P00628
U26856,P01702
U25440,P02577
U22354,P00316
U13001,P01325
U13731,P02199
U02637,P01097
U10323,P01793
U27502,P00998
U02138,P02236
U06439,P01686
U05542,P01518
U19572,P00357
U25200,P02263
U08425,P02054
U01480,P01108
U25783,P02702
U23172,P02726
U06219,P00538
U28720,P00005
U11399,P02531
U04712,P00771
U18338,P02482
U10814,P00335
U04335,P00025
U28064,P00322
U20935,P00038
U04553,P00528
U15370,P02783
U19004,P01059
U25460,P00657
U13233,P00150
U06113,P00139
U28594,P02947
U27526,P01096
U03046,P00510
U20699,P00196
U00526,P00219
U26343,P01884
U26120,P01334
U15504,P00079
U24436,P00020
U25765,P00464
U02833,P03156
U11196,P01684
U14335,P01894
U26280,P01808
U25824,P02841
U00019,P01542
U14659,P00001
U06300,P03077
U10696,P00038
U11947,P00386
U06859,P02814
U17078,P01329
U23419,P00092
U02030,P01147
U10865,P01175
U16796,P00953
U22387,P03030
U07301,P01075
U07089,P01897
U07133,P01825
U02987,P01715
U20323,P00536
U12310,P01114
U01853,P02033
U07105,P00133
U15838,P00386
U16264,P02668
U25986,P02382
U05149,P01904
U00085,P01296
U06700,P00943
U08033,P00958
U00785,P02040
U02368,P02159
U29952,P00292
U26120,P01977
U20777,P00535
U22754,P01300
U10359,P01621
U27014,P03037
U15786,P02348
U18856,P01189
U05191,P00039
U07551,P00568
U22173,P00595
U18707,P00898
U13489,P00476
U01045,P00116
U20026,P01958
U09720,P03181
U23075,P02043
U18041,P01069
U18719,P03099
U20496,P00083
U03688,P01972
U25829,P02621
U19390,P01004
U18438,P00446
U21556,P01574
U01244,P01593
U19969,P01803
U29291,P02727
U02678,P00982
U04249,P00699
U19180,P00915
U00227,P00223
U00433,P00399
U14926,P00219
U24953,P00386
U03375,P00051
U03998,P01370
U13744,P00206
U06481,P00508
U01692,P02223
U21100,P00066
U10511,P00928
U11312,P00051
U27226,P01861
U16926,P00020
U14662,P00134
U09502,P00710
U22509,P00652
U06948,P01912
U08239,P02687
U03897,P00515
U27788,P02817
U24915,P02924
U16127,P01958
U12880,P00916
U20779,P00335
U25412,P02981
U18520,P00174
U10202,P02174
U10433,P03158
U06925,P00196
U05001,P02401
U08721,P03082
U02173,P01513
U13511,P00562
U10733,P00411
U00116,P00592
U28224,P00296
U13875,P02462
U18352,P01570
U10815,P02432
U04493,P00276
U11063,P01797
U04396,P01597
U22173,P02223
U15287,P00989
U09718,P01085
U16146,P01126
U20402,P01021
U25322,P03156
U07115,P02985
U13291,P02557
U23935,P00020
U06640,P02062
U29987,P00562
U26421,P02296
U12266,P00061
U25905,P00020
U14771,P02978
U03688,P00308
U19213,P01305
U25195,P00536
U22744,P03120
U03005,P00220
U04543,P01972
U05264,P00020
U09018,P00922
U06454,P02040
U12799,P03053
U02654,P02300
U21515,P01941
U27705,P02453
U24940,P02689
U25515,P01763
U24628,P02959
U05531,P00224
U16688,P00110
U10658,P02790
U14388,P02500
U24201,P00667
U00137,P01999
U22363,P00769
U18049,P01897
U23265,P01785
U12202,P00005
U05952,P00833
U13759,P01321
U11623,P00149
U03331,P00815
U25622,P00357
U29215,P00628
U24447,P00441
U18656,P01972
U16620,P01487
U04053,P01022
U28277,P00341
U11159,P00445
U23006,P00308
U02881,P02131
U13018,P00005
U00483,P02172
U04543,P00241
U21831,P02113
U25339,P01796
U04388,P02349
U06157,P00520
U08518,P00020
U14380,P00568
U20490,P01701
U17393,P00710
U23654,P02523
U15373,P00914
U09677,P00020
U07929,P00196
U24575,P01533
U29078,P02062
U12995,P01875
U23661,P00360
U12734,P02891
U02411,P01621
U20866,P00133
U01206,P00509
U08252,P01769
U06057,P00375
U25220,P00200
U23804,P00598
U01382,P01768
U11360,P00758
U12191,P00229
U05551,P02965
U15697,P00066
U14395,P01806
U21478,P00562
U11501,P00222
U04451,P01972
U17888,P03156
U16876,P01899
U12647,P03186
U16054,P01723
U23400,P00956
U20021,P03236
U24563,P01591
U07384,P02278
U05072,P02888
U27859,P03132
U26327,P01972
U23846,P01315
U20912,P00224
U11031,P00133
U00940,P00220
U05645,P01763
U24445,P00765
U29484,P01089
U19481,P01324
U01340,P02183
U07672,P00114
U06995,P00386
U01741,P00965
U14061,P00253
U06082,P02945
U02649,P00002
U00931,P00887
U19053,P00174
U28815,P01430
U13020,P00020
U19174,P00008
U06706,P01239
U19771,P01380
U28580,P02230
U07617,P01300
U00009,P01972
U12029,P00438
U05933,P01168
U07501,P00562
U16658,P00149
U23261,P01920
U18846,P00006
U18360,P00084
U12774,P00628
U10814,P01334
U15373,P02633
U03386,P00001
U21878,P00133
U02643,P01915
U28220,P01771
U12180,P02829
U18587,P01371
U17103,P00562
U18966,P00125
U11007,P02100
U08788,P00379
U22459,P02163
U01001,P00562
U06770,P02552
U00847,P03177
U23497,P00981
U23771,P00133
U09294,P02343
U27613,P01800
U00970,P02456
U13291,P01769
U09275,P02635
U14458,P01059
U13393,P01075
U08204,P02179
U14445,P00020
U16801,P00020
U04837,P00008
U14781,P02122
U21183,P02131
U13908,P03187
U19518,P00294
U22637,P00308
U07902,P02078
U10064,P02063
U27103,P03006
U00193,P02110
U25202,P00595
U19163,P02139
U22197,P01621
U10490,P02118
U20395,P02537
U27622,P00025
U08616,P01896
U29290,P01621
U04517,P00006
U23682,P01977
U23219,P03027
U06500,P01965
U10866,P01113
U12592,P00454
U25914,P02561
U12799,P00523
U17676,P00783
U18359,P01776
U13269,P01758
U29180,P01880
U03054,P00150
U03721,P01924
U14226,P00001
U16797,P00464
U21996,P00006
U15722,P00510
U02308,P02063
U20730,P00434
U29147,P00467
U24561,P00583
U26270,P00039
U18707,P01219
U01378,P00562
U16560,P01877
U08347,P02115
U01735,P00083
U06645,P00006
U07169,P01834
U22254,P00020
U14083,P01797
U02062,P03139
U26476,P01572
U14210,P03158
U08538,P02307
U03329,P01101
U19390,P00946
U03489,P00346
U29813,P02395
U14488,P00712
U06530,P02585
U29088,P00911
U09972,P01693
U08585,P02372
U15765,P00220
U22642,P02871
U24454,P01910
U19004,P00001
U26577,P01381
U22168,P00595
U07783,P01331
U08764,P01916
U11717,P02219
U16467,P01684
U03544,P00133
U15465,P00174
U15504,P00359
U01121,P00855
U06072,P00334
U07658,P02064
U19101,P00008
U07244,P00149
U24120,P01985
U29818,P01684
U10695,P01972
U15607,P01584
U12528,P00661
U05851,P02219
U14698,P03122
U26836,P01753
U22480,P00099
U15000,P01366
U06812,P00313
U25824,P03156
U13032,P00476
U12592,P02332
U05747,P00854
U14646,P02656
U05663,P02906
U25207,P00002
U05569,P00292
U17894,P01999
U13632,P01905
U25361,P00220
U01207,P00520
U08427,P02109
U13622,P02437
U12742,P03158
U22501,P01758
U22363,P00659
U10898,P01049
U20784,P02392
U01091,P03167
U13702,P02995
U24712,P00376
U28899,P01613
U14479,P02300
U15296,P01981
U04477,P00438
U12913,P01602
U02308,P00798
U03310,P02012
U25509,P00020
U10667,P00038
U01663,P01924
U23285,P00005
U14618,P00039
U24743,P00745
U19989,P02671
U05831,P02456
U08505,P00244
U20503,P02537
U18463,P02229
U13493,P00752
U07581,P03156
U01812,P01831
U12395,P00225
U24140,P00446
U25467,P00019
U15919,P01516
U29139,P03004
U29126,P02166
U00051,P00034
U03737,P01811
U04289,P00020
U22073,P01795
U27228,P00661
U19687,P00386
U05998,P00003
U24624,P01058
U25872,P00191
U10120,P00002
U04793,P02175
U03375,P01809
U22696,P01925
U27190,P01999
U16006,P02517
U15266,P01717
U02578,P03040
U28278,P02493
U19931,P02924
U16326,P02365
U24396,P00405
U16186,P01776
U19942,P00038
U20526,P01380
U09544,P02662
U28398,P02567
U20811,P03156
U14579,P01406
U02578,P02062
U11425,P01564
U17249,P01647
U01084,P02389
U20395,P00121
U28262,P02410
U25170,P00279
U23551,P01367
U28539,P00906
U09134,P02565
U10484,P02112
U13673,P01950
U01624,P02332
U20809,P00449
U04135,P02541
U16628,P01541
U00570,P01148
U10344,P00997
U27431,P01242
U00516,P00909
U04451,P01103
U07985,P00475
U16580,P03156
U27530,P00003
U01597,P01904
U04978,P02646
U14043,P00130
U01597,P00956
U17754,P00536
U19143,P02126
U21450,P00001
U12333,P01329
U16266,P02461
U16064,P00084
U03274,P00719
U24036,P00924
U22213,P00387
U14706,P02113
U21846,P00763
U24593,P00587
U14076,P01978
U10724,P01217
U13244,P01444
U17128,P01320
U14977,P00082
U01317,P02432
U26089,P00628
U04618,P01840
U19883,P00020
